id_indicator,time,open,close
123,1984-10-01,11.3,9.99
123,1984-11-01,9.99,9.43
123,1984-12-01,9.43,8.38
123,1985-01-01,8.38,8.35
123,1985-02-01,8.35,8.5
123,1985-03-01,8.5,8.58
123,1985-04-01,8.58,8.27
123,1985-05-01,8.27,7.97
123,1985-06-01,7.97,7.53
123,1985-07-01,7.53,7.88
123,1985-08-01,7.88,7.9
123,1985-09-01,7.9,7.92
123,1985-10-01,7.92,7.99
123,1985-11-01,7.99,8.05
123,1985-12-01,8.05,8.27
123,1986-01-01,8.27,8.14
123,1986-02-01,8.14,7.86
123,1986-03-01,7.86,7.48
123,1986-04-01,7.48,6.99
123,1986-05-01,6.99,6.85
123,1986-06-01,6.85,6.92
123,1986-07-01,6.92,6.56
123,1986-08-01,6.56,6.17
123,1986-09-01,6.17,5.89
123,1986-10-01,5.89,5.85
123,1986-11-01,5.85,6.04
123,1986-12-01,6.04,6.91
123,1987-01-01,6.91,6.43
123,1987-02-01,6.43,6.1
123,1987-03-01,6.1,6.13
123,1987-04-01,6.13,6.37
123,1987-05-01,6.37,6.85
123,1987-06-01,6.85,6.73
123,1987-07-01,6.73,6.58
123,1987-08-01,6.58,6.73
123,1987-09-01,6.73,7.22
123,1987-10-01,7.22,7.29
123,1987-11-01,7.29,6.69
123,1987-12-01,6.69,6.77
123,1988-01-01,6.77,6.83
123,1988-02-01,6.83,6.58
123,1988-03-01,6.58,6.58
123,1988-04-01,6.58,6.87
123,1988-05-01,6.87,7.09
123,1988-06-01,7.09,7.51
123,1988-07-01,7.51,7.75
123,1988-08-01,7.75,8.01
123,1988-09-01,8.01,8.19
123,1988-10-01,8.19,8.3
123,1988-11-01,8.3,8.35
123,1988-12-01,8.35,8.76
123,1989-01-01,8.76,9.12
123,1989-02-01,9.12,9.36
123,1989-03-01,9.36,9.85
123,1989-04-01,9.85,9.84
123,1989-05-01,9.84,9.81
123,1989-06-01,9.81,9.53
123,1989-07-01,9.53,9.24
123,1989-08-01,9.24,8.99
123,1989-09-01,8.99,9.02
123,1989-10-01,9.02,8.84
123,1989-11-01,8.84,8.55
123,1989-12-01,8.55,8.45
123,1990-01-01,8.45,8.23
123,1990-02-01,8.23,8.24
123,1990-03-01,8.24,8.28
123,1990-04-01,8.28,8.26
123,1990-05-01,8.26,8.18
123,1990-06-01,8.18,8.29
123,1990-07-01,8.29,8.15
123,1990-08-01,8.15,8.13
123,1990-09-01,8.13,8.2
123,1990-10-01,8.2,8.11
123,1990-11-01,8.11,7.81
123,1990-12-01,7.81,7.31
123,1991-01-01,7.31,6.91
123,1991-02-01,6.91,6.25
123,1991-03-01,6.25,6.12
123,1991-04-01,6.12,5.91
123,1991-05-01,5.91,5.78
123,1991-06-01,5.78,5.9
123,1991-07-01,5.9,5.82
123,1991-08-01,5.82,5.66
123,1991-09-01,5.66,5.45
123,1991-10-01,5.45,5.21
123,1991-11-01,5.21,4.81
123,1991-12-01,4.81,4.43
123,1992-01-01,4.43,4.03
123,1992-02-01,4.03,4.06
123,1992-03-01,4.06,3.98
123,1992-04-01,3.98,3.73
123,1992-05-01,3.73,3.82
123,1992-06-01,3.82,3.76
123,1992-07-01,3.76,3.25
123,1992-08-01,3.25,3.3
123,1992-09-01,3.3,3.22
123,1992-10-01,3.22,3.1
123,1992-11-01,3.1,3.09
123,1992-12-01,3.09,2.92
123,1993-01-01,2.92,3.02
123,1993-02-01,3.02,3.03
123,1993-03-01,3.03,3.07
123,1993-04-01,3.07,2.96
123,1993-05-01,2.96,3
123,1993-06-01,3,3.04
123,1993-07-01,3.04,3.06
123,1993-08-01,3.06,3.03
123,1993-09-01,3.03,3.09
123,1993-10-01,3.09,2.99
123,1993-11-01,2.99,3.02
123,1993-12-01,3.02,2.96
123,1994-01-01,2.96,3.05
123,1994-02-01,3.05,3.25
123,1994-03-01,3.25,3.34
123,1994-04-01,3.34,3.56
123,1994-05-01,3.56,4.01
123,1994-06-01,4.01,4.25
123,1994-07-01,4.25,4.26
123,1994-08-01,4.26,4.47
123,1994-09-01,4.47,4.73
123,1994-10-01,4.73,4.76
123,1994-11-01,4.76,5.29
123,1994-12-01,5.29,5.45
123,1995-01-01,5.45,5.53
123,1995-02-01,5.53,5.92
123,1995-03-01,5.92,5.98
123,1995-04-01,5.98,6.05
123,1995-05-01,6.05,6.01
123,1995-06-01,6.01,6
123,1995-07-01,6,5.85
123,1995-08-01,5.85,5.74
123,1995-09-01,5.74,5.8
123,1995-10-01,5.8,5.76
123,1995-11-01,5.76,5.8
123,1995-12-01,5.8,5.6
123,1996-01-01,5.6,5.56
123,1996-02-01,5.56,5.22
123,1996-03-01,5.22,5.31
123,1996-04-01,5.31,5.22
123,1996-05-01,5.22,5.24
123,1996-06-01,5.24,5.27
123,1996-07-01,5.27,5.4
123,1996-08-01,5.4,5.22
123,1996-09-01,5.22,5.3
123,1996-10-01,5.3,5.24
123,1996-11-01,5.24,5.31
123,1996-12-01,5.31,5.29
123,1997-01-01,5.29,5.25
123,1997-02-01,5.25,5.19
123,1997-03-01,5.19,5.39
123,1997-04-01,5.39,5.51
123,1997-05-01,5.51,5.5
123,1997-06-01,5.5,5.56
123,1997-07-01,5.56,5.52
123,1997-08-01,5.52,5.54
123,1997-09-01,5.54,5.54
123,1997-10-01,5.54,5.5
123,1997-11-01,5.5,5.52
123,1997-12-01,5.52,5.5
123,1998-01-01,5.5,5.56
123,1998-02-01,5.56,5.51
123,1998-03-01,5.51,5.49
123,1998-04-01,5.49,5.45
123,1998-05-01,5.45,5.49
123,1998-06-01,5.49,5.56
123,1998-07-01,5.56,5.54
123,1998-08-01,5.54,5.55
123,1998-09-01,5.55,5.51
123,1998-10-01,5.51,5.07
123,1998-11-01,5.07,4.83
123,1998-12-01,4.83,4.68
123,1999-01-01,4.68,4.63
123,1999-02-01,4.63,4.76
123,1999-03-01,4.76,4.81
123,1999-04-01,4.81,4.74
123,1999-05-01,4.74,4.74
123,1999-06-01,4.74,4.76
123,1999-07-01,4.76,4.99
123,1999-08-01,4.99,5.07
123,1999-09-01,5.07,5.22
123,1999-10-01,5.22,5.2
123,1999-11-01,5.2,5.42
123,1999-12-01,5.42,5.3
123,2000-01-01,5.3,5.45
123,2000-02-01,5.45,5.73
123,2000-03-01,5.73,5.85
123,2000-04-01,5.85,6.02
123,2000-05-01,6.02,6.27
123,2000-06-01,6.27,6.53
123,2000-07-01,6.53,6.54
123,2000-08-01,6.54,6.5
123,2000-09-01,6.5,6.52
123,2000-10-01,6.52,6.51
123,2000-11-01,6.51,6.51
123,2000-12-01,6.51,6.4
123,2001-01-01,6.4,5.98
123,2001-02-01,5.98,5.49
123,2001-03-01,5.49,5.31
123,2001-04-01,5.31,4.8
123,2001-05-01,4.8,4.21
123,2001-06-01,4.21,3.97
123,2001-07-01,3.97,3.77
123,2001-08-01,3.77,3.65
123,2001-09-01,3.65,3.07
123,2001-10-01,3.07,2.49
123,2001-11-01,2.49,2.09
123,2001-12-01,2.09,1.82
123,2002-01-01,1.82,1.73
123,2002-02-01,1.73,1.74
123,2002-03-01,1.74,1.73
123,2002-04-01,1.73,1.75
123,2002-05-01,1.75,1.75
123,2002-06-01,1.75,1.75
123,2002-07-01,1.75,1.73
123,2002-08-01,1.73,1.74
123,2002-09-01,1.74,1.75
123,2002-10-01,1.75,1.75
123,2002-11-01,1.75,1.34
123,2002-12-01,1.34,1.24
123,2003-01-01,1.24,1.24
123,2003-02-01,1.24,1.26
123,2003-03-01,1.26,1.25
123,2003-04-01,1.25,1.26
123,2003-05-01,1.26,1.26
123,2003-06-01,1.26,1.22
123,2003-07-01,1.22,1.01
123,2003-08-01,1.01,1.03
123,2003-09-01,1.03,1.01
123,2003-10-01,1.01,1.01
123,2003-11-01,1.01,1
123,2003-12-01,1,0.98
123,2004-01-01,0.98,1
123,2004-02-01,1,1.01
123,2004-03-01,1.01,1
123,2004-04-01,1,1
123,2004-05-01,1,1
123,2004-06-01,1,1.03
123,2004-07-01,1.03,1.26
123,2004-08-01,1.26,1.43
123,2004-09-01,1.43,1.61
123,2004-10-01,1.61,1.76
123,2004-11-01,1.76,1.93
123,2004-12-01,1.93,2.16
123,2005-01-01,2.16,2.28
123,2005-02-01,2.28,2.5
123,2005-03-01,2.5,2.63
123,2005-04-01,2.63,2.79
123,2005-05-01,2.79,3
123,2005-06-01,3,3.04
123,2005-07-01,3.04,3.26
123,2005-08-01,3.26,3.5
123,2005-09-01,3.5,3.62
123,2005-10-01,3.62,3.78
123,2005-11-01,3.78,4
123,2005-12-01,4,4.16
123,2006-01-01,4.16,4.29
123,2006-02-01,4.29,4.49
123,2006-03-01,4.49,4.59
123,2006-04-01,4.59,4.79
123,2006-05-01,4.79,4.94
123,2006-06-01,4.94,4.99
123,2006-07-01,4.99,5.24
123,2006-08-01,5.24,5.25
123,2006-09-01,5.25,5.25
123,2006-10-01,5.25,5.25
123,2006-11-01,5.25,5.25
123,2006-12-01,5.25,5.24
123,2007-01-01,5.24,5.25
123,2007-02-01,5.25,5.26
123,2007-03-01,5.26,5.26
123,2007-04-01,5.26,5.25
123,2007-05-01,5.25,5.25
123,2007-06-01,5.25,5.25
123,2007-07-01,5.25,5.26
123,2007-08-01,5.26,5.02
123,2007-09-01,5.02,4.94
123,2007-10-01,4.94,4.76
123,2007-11-01,4.76,4.49
123,2007-12-01,4.49,4.24
123,2008-01-01,4.24,3.94
123,2008-02-01,3.94,2.98
123,2008-03-01,2.98,2.61
123,2008-04-01,2.61,2.28
123,2008-05-01,2.28,1.98
123,2008-06-01,1.98,2
123,2008-07-01,2,2.01
123,2008-08-01,2.01,2
123,2008-09-01,2,1.81
123,2008-10-01,1.81,0.97
123,2008-11-01,0.97,0.39
123,2008-12-01,0.39,0.16
123,2009-01-01,0.16,0.15
123,2009-02-01,0.15,0.22
123,2009-03-01,0.22,0.18
123,2009-04-01,0.18,0.15
123,2009-05-01,0.15,0.18
123,2009-06-01,0.18,0.21
123,2009-07-01,0.21,0.16
123,2009-08-01,0.16,0.16
123,2009-09-01,0.16,0.15
123,2009-10-01,0.15,0.12
123,2009-11-01,0.12,0.12
123,2009-12-01,0.12,0.12
123,2010-01-01,0.12,0.11
123,2010-02-01,0.11,0.13
123,2010-03-01,0.13,0.16
123,2010-04-01,0.16,0.2
123,2010-05-01,0.2,0.2
123,2010-06-01,0.2,0.18
123,2010-07-01,0.18,0.18
123,2010-08-01,0.18,0.19
123,2010-09-01,0.19,0.19
123,2010-10-01,0.19,0.19
123,2010-11-01,0.19,0.19
123,2010-12-01,0.19,0.18
123,2011-01-01,0.18,0.17
123,2011-02-01,0.17,0.16
123,2011-03-01,0.16,0.14
123,2011-04-01,0.14,0.1
123,2011-05-01,0.1,0.09
123,2011-06-01,0.09,0.09
123,2011-07-01,0.09,0.07
123,2011-08-01,0.07,0.1
123,2011-09-01,0.1,0.08
123,2011-10-01,0.08,0.07
123,2011-11-01,0.07,0.08
123,2011-12-01,0.08,0.07
123,2012-01-01,0.07,0.08
123,2012-02-01,0.08,0.1
123,2012-03-01,0.1,0.13
123,2012-04-01,0.13,0.14
123,2012-05-01,0.14,0.16
123,2012-06-01,0.16,0.16
123,2012-07-01,0.16,0.16
123,2012-08-01,0.16,0.13
123,2012-09-01,0.13,0.14
123,2012-10-01,0.14,0.16
123,2012-11-01,0.16,0.16
123,2012-12-01,0.16,0.16
123,2013-01-01,0.16,0.14
123,2013-02-01,0.14,0.15
123,2013-03-01,0.15,0.14
123,2013-04-01,0.14,0.15
123,2013-05-01,0.15,0.11
123,2013-06-01,0.11,0.09
123,2013-07-01,0.09,0.09
123,2013-08-01,0.09,0.08
123,2013-09-01,0.08,0.08
123,2013-10-01,0.08,0.09
123,2013-11-01,0.09,0.08
123,2013-12-01,0.08,0.09
123,2014-01-01,0.09,0.07
123,2014-02-01,0.07,0.07
123,2014-03-01,0.07,0.08
123,2014-04-01,0.08,0.09
123,2014-05-01,0.09,0.09
123,2014-06-01,0.09,0.1
123,2014-07-01,0.1,0.09
123,2014-08-01,0.09,0.09
123,2014-09-01,0.09,0.09
123,2014-10-01,0.09,0.09
123,2014-11-01,0.09,0.09
123,2014-12-01,0.09,0.12
123,2015-01-01,0.12,0.11
123,2015-02-01,0.11,0.11
123,2015-03-01,0.11,0.11
123,2015-04-01,0.11,0.12
123,2015-05-01,0.12,0.12
123,2015-06-01,0.12,0.13
123,2015-07-01,0.13,0.13
123,2015-08-01,0.13,0.14
123,2015-09-01,0.14,0.14
123,2015-10-01,0.14,0.12
123,2015-11-01,0.12,0.12
123,2015-12-01,0.12,0.24
123,2016-01-01,0.24,0.34
123,2016-02-01,0.34,0.38
123,2016-03-01,0.38,0.36
123,2016-04-01,0.36,0.37
123,2016-05-01,0.37,0.37
123,2016-06-01,0.37,0.38
123,2016-07-01,0.38,0.39
123,2016-08-01,0.39,0.4
123,2016-09-01,0.4,0.4
123,2016-10-01,0.4,0.4
123,2016-11-01,0.4,0.41
123,2016-12-01,0.41,0.54
123,2017-01-01,0.54,0.65
123,2017-02-01,0.65,0.66
123,2017-03-01,0.66,0.79
123,2017-04-01,0.79,0.9
123,2017-05-01,0.9,0.91
123,2017-06-01,0.91,1.04
123,2017-07-01,1.04,1.15
123,2017-08-01,1.15,1.16
123,2017-09-01,1.16,1.15
123,2017-10-01,1.15,1.15
123,2017-11-01,1.15,1.16
123,2017-12-01,1.16,1.3
123,2018-01-01,1.3,1.41
123,2018-02-01,1.41,1.42
123,2018-03-01,1.42,1.51
123,2018-04-01,1.51,1.69
123,2018-05-01,1.69,1.7
123,2018-06-01,1.7,1.82
123,2018-07-01,1.82,1.91
123,2018-08-01,1.91,1.91
123,2018-09-01,1.91,1.95
123,2018-10-01,1.95,2.19
123,2018-11-01,2.19,2.2
123,2018-12-01,2.2,2.27
123,2019-01-01,2.27,2.4
123,2019-02-01,2.4,2.4
123,2019-03-01,2.4,2.41
123,2019-04-01,2.41,2.42
123,2019-05-01,2.42,2.39
123,2019-06-01,2.39,2.38
123,2019-07-01,2.38,2.4
123,2019-08-01,2.4,2.13
123,2019-09-01,2.13,2.04
123,2019-10-01,2.04,1.83
123,2019-11-01,1.83,1.55
123,2019-12-01,1.55,1.55
123,2020-01-01,1.55,1.55
123,2020-02-01,1.55,1.58
123,2020-03-01,1.58,0.65
123,2020-04-01,0.65,0.05
